Author Name,Tweet,Friends,CreatedAt,Id,Favorite Count,Retweet Count,Company,Source
Clark Joseph Kent,"Apple, Microsoft and Google Are Sitting on Stupid Amounts of Cash $AAPL $MSFT $GOOGL $ORCLâ€¦",4766,3/7/18 22:46,9.71517E+17,0,0,GOOGLE,Twitter
Jeff Joseph Author,RT @jjjinvesting: $AAPL $ABBV $ABT $BDX $BTI $CL $CMG $DEO $EUO $FB $GILD $GOOG $GOOGL $IBM $JNJ $JPM $KHC $KO $MCD $MDLZ $MKC $MSFT https:â€¦,44954,3/7/18 22:45,9.71517E+17,0,1,GOOGLE,Twitter
andrew corn,"Incumbents Moving Towards Innovation, #FinTechs Moving Towards Scale â€“ The #roboadvisors Race Is On!â€¦",329,3/7/18 22:44,9.71517E+17,0,0,GOOGLE,Twitter
Clark Joseph Kent,"Facebook, Amazon, Apple, Netflix &amp; Google See Bizarre Stock Price Divergence @BrianSozzi $FB $AMZN $AAPL $NFLXâ€¦",4766,3/7/18 22:43,9.71517E+17,0,0,GOOGLE,Twitter
Jonbull Stock Guide,RT @BrianSozzi: Apple...Microsoft...and Alphabet have so...much...cash! @jimcramer $AAPL $MSFT $GOOGL,2966,3/7/18 22:37,9.71515E+17,0,2,GOOGLE,Twitter
Stockdog101,$EYES Q4 beat on revenue by $1.49M. Also announced the First Orion Cortical Visual Prosthesis System was a success.â€¦,238,3/7/18 22:32,9.71514E+17,0,1,GOOGLE,Twitter
Jeffrey Weber,$AAPL $ABBV $ABT $BDX $BTI $CL $CMG $DEO $EUO $FB $GILD $GOOG $GOOGL $IBM $JNJ $JPM $KHC $KO $MCD $MDLZ $MKC $MSFT d,22884,3/7/18 22:32,9.71514E+17,0,1,GOOGLE,Twitter
ProVesting,$GOOGL: Google Maps lets businesses promote themselves as women-led:,6,3/7/18 22:30,9.71514E+17,0,0,GOOGLE,Twitter
Bill,"I have 57% of my portfolio split between $GOOGL and $BRK-B and I sleep very, very, very well",663,3/7/18 22:24,9.71512E+17,2,0,GOOGLE,Twitter
Gavin M,US SESSION WRAP -bounce me baby one moar time #oott #oil #brent #forex $aapl $tsla $googl $amzn,65,3/7/18 22:21,9.71511E+17,0,0,GOOGLE,Twitter
42 Stocks,| 42s top5 $AAN $CAMP $TWOU $PTC $MU | top5 mktGain $FB $GOOG $GOOGL $AAPL $ADSK | top5 mktâ€¦ 0,42,3/7/18 22:16,9.7151E+17,0,0,GOOGLE,Twitter
Mitch Nolen Retail,RT @petition: America's Second-Largest Retailer is Closing Stores by @mitchnolen $KR $OSTK $AAPL $GOOGL $BABA $AMZâ€¦,724,3/7/18 22:13,9.71509E+17,0,4,GOOGLE,Twitter
Option_Sniper,"RT @option_snipper: ask urself one Q only - w/ tech leader $nflx downgraded &amp; thus weak today, what would nasdaq $comp have looked like IFâ€¦",29,3/7/18 22:12,9.71509E+17,0,5,GOOGLE,Twitter
NYCPunter,Tariff just got flipped to Bullish. We saw it in the room thanks to Steve D and destroyed SPX calls $GOOGL $BKNG anâ€¦,37,3/7/18 22:08,9.71508E+17,9,2,GOOGLE,Twitter
KielKontrovers,$GOOG $GOOGL $GM $TSLA C,994,3/7/18 22:00,9.71506E+17,0,0,GOOGLE,Twitter
OptionsPro MaxPain,#Options #maxpain chart for $GOOGL. Free options app d 9D,2524,3/7/18 21:59,9.71506E+17,0,0,GOOGLE,Twitter
Alessandro,$RAI $BTI $CFRUY $BIREF $FPLPF $BHGE $GOOG $GOOGL $YXOXY C,958,3/7/18 21:53,9.71504E+17,0,0,GOOGLE,Twitter
OptionsPro OI,$GOOGL #Options OI chart. Free stocks app,4024,3/7/18 21:45,9.71502E+17,1,0,GOOGLE,Twitter
Thor,RT @thorsvortex: Digital ads are ineffective sales conversion tools and cost a fortune. #KPI #KeyMetrics $Googl $Goog,1008,3/7/18 21:38,9.715E+17,0,1,GOOGLE,Twitter
